Year,Sex,State,Number_of_teachers
2005,Female,Perlis,1130
2005,Female,Pulau Pinang,5054
2005,Female,Sabah ,5944
2005,Female,Sarawak,6927
2005,Female,Selangor,15017
2005,Female,Terengganu,4731
2005,Female,W.P. Kuala Lumpur,5488
2005,Female,W.P. Labuan,300
2005,Female,W.P. Putrajaya,0
2005,Male,Malaysia,48609
2005,Male,Johor,5483
2005,Male,Kedah,4323
2005,Male,Kelantan,4772
2005,Male,Melaka,1714
2005,Male,Negeri Sembilan,2092
2005,Male,Pahang,3460
2005,Male,Perak,5573
2005,Male,Perlis,827
2005,Male,Pulau Pinang,2332
2005,Male,Sabah ,4906
2005,Male,Sarawak,4571
2005,Male,Selangor,3829
2005,Male,Terengganu,3059
2005,Male,W.P. Kuala Lumpur,1451
2005,Male,W.P. Labuan,217
2005,Male,W.P. Putrajaya,0
2006,Female,Malaysia,89783
2006,Female,Johor,10680
2006,Female,Kedah,6371
2006,Female,Kelantan,6023
2006,Female,Melaka,2875
2006,Female,Negeri Sembilan,4035
2006,Female,Pahang,5504
2006,Female,Perak,8811
2006,Female,Perlis,1108
2006,Female,Pulau Pinang,4955
2006,Female,Sabah ,6192
2006,Female,Sarawak,7257
2006,Female,Selangor,15484
2006,Female,Terengganu,4765
2006,Female,W.P. Kuala Lumpur,5407
2006,Female,W.P. Labuan,316
2006,Female,W.P. Putrajaya,0
2006,Male,Malaysia,48800
2006,Male,Johor,5553
2006,Male,Kedah,4240
2006,Male,Kelantan,4740
2006,Male,Melaka,1733
2006,Male,Negeri Sembilan,2070
2006,Male,Pahang,3467
2006,Male,Perak,5588
2006,Male,Perlis,806
2006,Male,Pulau Pinang,2295
2006,Male,Sabah ,5072
2006,Male,Sarawak,4698
2006,Male,Selangor,3851
2006,Male,Terengganu,3051
2006,Male,W.P. Kuala Lumpur,1409
2006,Male,W.P. Labuan,227
2006,Male,W.P. Putrajaya,0
2007,Female,Malaysia,95125
2007,Female,Johor,11389
2007,Female,Kedah,6800
2007,Female,Kelantan,6173
2007,Female,Melaka,3105
2007,Female,Negeri Sembilan,4259
2007,Female,Pahang,5784
2007,Female,Perak,9043
2007,Female,Perlis,1088
2007,Female,Pulau Pinang,5278
2007,Female,Sabah ,6835
2007,Female,Sarawak,7652
2007,Female,Selangor,16349
2007,Female,Terengganu,4957
2007,Female,W.P. Kuala Lumpur,5734
2007,Female,W.P. Labuan,325
2007,Female,W.P. Putrajaya,354
2007,Male,Malaysia,50049
2007,Male,Johor,5704
2007,Male,Kedah,4332
2007,Male,Kelantan,4808
2007,Male,Melaka,1756
2007,Male,Negeri Sembilan,2099
2007,Male,Pahang,3499
2007,Male,Perak,5630
2007,Male,Perlis,805
2007,Male,Pulau Pinang,2265
2007,Male,Sabah ,5408
2007,Male,Sarawak,4941
2007,Male,Selangor,3998
2007,Male,Terengganu,3071
2007,Male,W.P. Kuala Lumpur,1437
2007,Male,W.P. Labuan,225
2007,Male,W.P. Putrajaya,71
2008,Female,Malaysia,106262
2008,Female,Johor,12341
2008,Female,Kedah,7650
2008,Female,Kelantan,6967
2008,Female,Melaka,3466
2008,Female,Negeri Sembilan,4743
2008,Female,Pahang,6638
2008,Female,Perak,10028
